stn_code,mrt_station_english,mrt_station_chinese,mrt_line_english,mrt_line_chinese
DT15,Promenade,宝门廊,Downtown Line,滨海市区线
DT16,Bayfront,海湾舫,Downtown Line,滨海市区线
DT17,Downtown,市中心,Downtown Line,滨海市区线
DT18,Telok Ayer,直落亚逸,Downtown Line,滨海市区线
DT19,Chinatown,牛车水,Downtown Line,滨海市区线
DT20,Fort Canning,福康宁,Downtown Line,滨海市区线
DT21,Bencoolen,明古连,Downtown Line,滨海市区线
DT22,Jalan Besar,惹兰勿刹,Downtown Line,滨海市区线
DT23,Bendemeer,明地迷亚,Downtown Line,滨海市区线
DT24,Geylang Bahru,芽笼峇鲁,Downtown Line,滨海市区线
DT25,Mattar,玛达,Downtown Line,滨海市区线
DT26,MacPherson,麦波申,Downtown Line,滨海市区线
DT27,Ubi,乌美,Downtown Line,滨海市区线
DT28,Kaki Bukit,加基武吉,Downtown Line,滨海市区线
DT29,Bedok North,勿洛北,Downtown Line,滨海市区线
DT30,Bedok Reservoir,勿洛蓄水池,Downtown Line,滨海市区线
DT31,Tampines West,淡滨尼西,Downtown Line,滨海市区线
DT32,Tampines,淡滨尼,Downtown Line,滨海市区线
DT33,Tampines East,淡滨尼东,Downtown Line,滨海市区线
DT34,Upper Changi,樟宜上段,Downtown Line,滨海市区线
DT35,Expo,博览,Downtown Line,滨海市区线
BP1,Choa Chu Kang,蔡厝港,Bukit Panjang LRT,武吉班让轻轨线
BP2,South View,南山,Bukit Panjang LRT,武吉班让轻轨线
BP3,Keat Hong,吉丰,Bukit Panjang LRT,武吉班让轻轨线
BP4,Teck Whye,德惠,Bukit Panjang LRT,武吉班让轻轨线
BP5,Phoenix,凤凰,Bukit Panjang LRT,武吉班让轻轨线
BP6,Bukit Panjang,武吉班让,Bukit Panjang LRT,武吉班让轻轨线
BP7,Petir,柏提,Bukit Panjang LRT,武吉班让轻轨线
BP8,Pending,秉定,Bukit Panjang LRT,武吉班让轻轨线
BP9,Bangkit,万吉,Bukit Panjang LRT,武吉班让轻轨线
BP10,Fajar,法嘉,Bukit Panjang LRT,武吉班让轻轨线
BP11,Segar,实加,Bukit Panjang LRT,武吉班让轻轨线
BP12,Jelapang,泽拉邦,Bukit Panjang LRT,武吉班让轻轨线
BP13,Senja,信佳,Bukit Panjang LRT,武吉班让轻轨线
BP14,Ten Mile Junction,十里广场,Bukit Panjang LRT,武吉班让轻轨线
STC,Sengkang,盛港,Sengkang LRT,盛港轻轨线
SE1,Compassvale,康埔桦,Sengkang LRT,盛港轻轨线
SE2,Rumbia,棕美,Sengkang LRT,盛港轻轨线
SE3,Bakau,码高,Sengkang LRT,盛港轻轨线
SE4,Kangkar,港脚,Sengkang LRT,盛港轻轨线
SE5,Ranggung,兰岗,Sengkang LRT,盛港轻轨线
SW1,Cheng Lim,振林,Sengkang LRT,盛港轻轨线
SW2,Farmway,农道,Sengkang LRT,盛港轻轨线
SW3,Kupang,古邦,Sengkang LRT,盛港轻轨线
SW4,Thanggam,丹甘,Sengkang LRT,盛港轻轨线
SW5,Fernvale,芬微,Sengkang LRT,盛港轻轨线
SW6,Layar,拉雅,Sengkang LRT,盛港轻轨线
SW7,Tongkang,同港,Sengkang LRT,盛港轻轨线
SW8,Renjong,仁宗,Sengkang LRT,盛港轻轨线
PTC,Punggol,榜鹅,Punggol LRT,榜鹅轻轨线
PE1,Cove,海湾,Punggol LRT,榜鹅轻轨线
PE2,Meridian,丽园,Punggol LRT,榜鹅轻轨线
PE3,Coral Edge,珊瑚,Punggol LRT,榜鹅轻轨线
PE4,Riviera,里维拉,Punggol LRT,榜鹅轻轨线
PE5,Kadaloor,卡达鲁,Punggol LRT,榜鹅轻轨线
PE6,Oasis,绿洲,Punggol LRT,榜鹅轻轨线
PE7,Damai,达迈,Punggol LRT,榜鹅轻轨线
PW1,Sam Kee,三记,Punggol LRT,榜鹅轻轨线
PW2,Teck Lee,德利,Punggol LRT,榜鹅轻轨线
PW3,Punggol Point,榜鹅坊,Punggol LRT,榜鹅轻轨线
PW4,Samudera,山姆,Punggol LRT,榜鹅轻轨线
PW5,Nibong,尼蒙,Punggol LRT,榜鹅轻轨线
PW6,Sumang,苏芒,Punggol LRT,榜鹅轻轨线
PW7,Soo Teck,树德,Punggol LRT,榜鹅轻轨线
